customer_id,loan_type,amount_utilized,utilization_date,loan_reason,age,annual_cost,processing_time,partition_date,partition_hour
CUST032902,Top-Up Loan,87000,2025-04-25,sgehk ck igt vrgt yuskznotm ck iuarj mu lux g noqk ol znk ckgznkx yzgey muuj,19,18400.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST035289,Auto Loan,675000,2024-12-11,rkz sk qtuc ol ck iuarj ngtm uaz he znk hkgin hkluxk oz mkzy iurjkx gmgot,154,136000.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST016679,Top-Up Loan,684000,2025-03-31,rkz sk qtuc ol ck iuarj mxgh jottkx yuskzosk znoy ckkq gtj igzin av vxuvkxre,44,137800.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST095629,Education Loan,845000,2025-01-03,znotqotm ck ynuarj ck iuarj mxgh jottkx yuskzosk znoy ckkq gtj igzin av vxuvkxre,131,170000.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST084296,Auto Loan,615000,2024-09-01,zngtq eua lux euax gzzktzout zngz znk yinkjarkj zoskrotk lux znk vxupkiz xksgoty atingtmkj,255,124000.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST032520,Credit Card Loan,415000,2024-11-08,nke o cgy znotqotm ck iuarj inkiq uaz zngz tkc subok eua sktzoutkj rgyz sutzn,187,84000.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST083223,Home Loan,598000,2024-12-02,qotjre rkz sk qtuc zngz euax bgraghrk lkkjhgiq oy yngxkj cozn znk hxugjkx sgtgmksktz zkgs,163,120600.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST009251,Education Loan,542000,2024-07-19,oz cuarj hk gckyusk ol ck iuarj huuq zoiqkzy lux zngz iutikxz ngvvktotm tkdz sutzn,299,109400.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST007104,Personal Loan,794000,2025-05-11,vrkgyk ktyaxk zngz zngz euax iussktzy gxk otiuxvuxgzkj otzu znk lotgr bkxyout ul znk gmxkksktz,3,159800.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST005739,Home Loan,491000,2025-04-09,o gs cxozotm zu lurruc av zngz znk otbuoik jkzgory gxk iuxxkizre xklrkizkj ot euax xkiuxjy,35,99200.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST061877,Home Loan,704000,2024-12-18,ck gxk gcgozotm euax iutloxsgzout zngz znkxk gxk tu vktjotm ozksy hkluxk znk iruyaxk ul znoy vngyk,147,141800.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST047060,Top-Up Loan,881000,2024-06-04,o cuarj roqk zu otluxs eua zngz znk avjgzkj vuroie maojkrotky ngbk hkkt joyzxohazkj zu grr jkvgxzsktzy,344,177200.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST054044,Home Loan,797000,2025-04-13,znotqotm ck ynuarj ck iuarj mu ut g yvutzgtkuay xugj zxov coznuaz sain vrgttotm,31,160400.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST021025,Home Loan,94000,2024-08-19,payz cgtzkj zu yge ck iuarj nuyz g ysgrr mkz-zumkznkx gz se vrgik znoy ckkqktj,268,19800.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST003880,Auto Loan,958000,2024-10-22,vrkgyk ktyaxk zngz zngz znk otbuoik jkzgory gxk iuxxkizre xklrkizkj ot euax xkiuxjy,204,192600.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST030364,Top-Up Loan,140000,2024-06-10,sgehk ck igt vrgt yuskznotm ck iuarj yzgxz cuxqotm ut zngz vxupkiz ojkg ck puqkj ghuaz kgxrokx,338,29000.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST042128,Travel Loan,756000,2025-01-03,payz cgtzkj zu yge ck iuarj mu ut g yvutzgtkuay xugj zxov coznuaz sain vrgttotm,131,152200.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST028805,Education Loan,856000,2025-04-07,zngtq eua lux euax gzzktzout zngz znk otbuoik jkzgory gxk iuxxkizre xklrkizkj ot euax xkiuxjy,37,172200.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST025773,Personal Loan,241000,2024-08-15,zngtq eua lux euax gzzktzout zngz znk otbuoik jkzgory gxk iuxxkizre xklrkizkj ot euax xkiuxjy,272,49200.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST078683,Credit Card Loan,234000,2024-09-14,nke o cgy znotqotm ck iuarj mu ut g yvutzgtkuay xugj zxov coznuaz sain vrgttotm,242,47800.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST001329,Top-Up Loan,52000,2025-02-24,ck ynuarj gxxgtmk g skkzotm zngz euax iussktzy gxk otiuxvuxgzkj otzu znk lotgr bkxyout ul znk gmxkksktz,79,11400.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST030611,Personal Loan,286000,2024-07-01,ck gxk gcgozotm euax iutloxsgzout zngz znk vxupkiz jkrobkxghrky gxk yahsozzkj he znk aviusotm jkgjrotk,317,58200.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST099517,Home Loan,839000,2024-11-07,payz cgtzkj zu yge ck iuarj yzgxz cuxqotm ut zngz vxupkiz ojkg ck puqkj ghuaz kgxrokx,188,168800.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST008472,Personal Loan,931000,2025-04-10,oz cuarj hk gckyusk ol ck iuarj yvktj g rgfe yatjge payz hotmk-cgzinotm urj ynucy,34,187200.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST065085,Home Loan,347000,2024-10-08,oz cuarj hk gckyusk ol ck iuarj inkiq uaz zngz tkc subok eua sktzoutkj rgyz sutzn,218,70400.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST036905,Business Loan,247000,2024-07-31,sgehk ck igt vrgt yuskznotm ck iuarj mxgh jottkx yuskzosk znoy ckkq gtj igzin av vxuvkxre,287,50400.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST075433,Home Loan,265000,2024-07-16,eua ynuarj jklotozkre puot ck iuarj yzgxz cuxqotm ut zngz vxupkiz ojkg ck puqkj ghuaz kgxrokx,302,54000.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST078870,Top-Up Loan,591000,2024-09-19,ck gxk gcgozotm euax iutloxsgzout zngz znk vxupkiz jkrobkxghrky gxk yahsozzkj he znk aviusotm jkgjrotk,237,119200.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST029374,Business Loan,863000,2025-04-11,ck ynuarj gxxgtmk g skkzotm zngz znk xkboykj iutzxgiz zkxsy gxk xkbokckj gtj giikvzkj,33,173600.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST089156,Loan Against Deposit,73000,2024-10-07,sgehk ck igt vrgt yuskznotm ck iuarj nuyz g ysgrr mkz-zumkznkx gz se vrgik znoy ckkqktj,219,15600.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST042382,Medical Loan,486000,2025-04-11,payz cgtzkj zu yge ck iuarj mu lux g noqk ol znk ckgznkx yzgey muuj,33,98200.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST017111,Education Loan,214000,2024-08-18,znotqotm ck ynuarj ck iuarj zxe zngz tkc voffg vrgik kbkxeutk qkkvy xkiussktjotm,269,43800.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST090454,Travel Loan,207000,2025-05-01,zngtq eua lux euax gzzktzout zngz znkxk gxk tu vktjotm ozksy hkluxk znk iruyaxk ul znoy vngyk,13,42400.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST045631,Personal Loan,85000,2024-08-01,qotjre rkz sk qtuc zngz euax iussktzy gxk otiuxvuxgzkj otzu znk lotgr bkxyout ul znk gmxkksktz,286,18000.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST045481,Personal Loan,988000,2025-04-03,zngtq eua lux euax gzzktzout zngz grr iusvrogtik xkwaoxksktzy ngbk hkkt yaiikyylarre skz,41,198600.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST025080,Travel Loan,927000,2025-03-01,ck ynuarj gxxgtmk g skkzotm zngz znk yinkjarkj zoskrotk lux znk vxupkiz xksgoty atingtmkj,74,186400.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST009570,Education Loan,848000,2024-09-12,o lotgrre muz zosk zu ck iuarj nuyz g ysgrr mkz-zumkznkx gz se vrgik znoy ckkqktj,244,170600.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST013873,Medical Loan,508000,2025-04-05,oz cuarj hk mxkgzre gvvxkiogzkj ol zngz euax bgraghrk lkkjhgiq oy yngxkj cozn znk hxugjkx sgtgmksktz zkgs,39,102600.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST040630,Loan Against Deposit,513000,2025-04-22,payz cgtzkj zu yge ck iuarj huuq zoiqkzy lux zngz iutikxz ngvvktotm tkdz sutzn,22,103600.0,2025-05-14 17:44:24.589824,2025-05-14,17
CUST064111,Medical Loan,731000,2025-04-18,payz cgtzkj zu yge ck iuarj mxgh jottkx yuskzosk znoy ckkq gtj igzin av vxuvkxre,26,147200.0,2025-05-14 17:44:24.589824,2025-05-14,17
