ticket_id,customer_id,complaint_category,complaint_date,severity,age,processing_time,partition_date,partition_hour
TICKET000001,CUST058823,Loan Application Rejected,2024-09-21,4,235,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000002,CUST095543,Incorrect Charges,2025-02-01,2,102,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000003,CUST064432,Unauthorized Transaction,2025-02-10,9,93,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000004,CUST078452,KYC Verification Delay,2024-07-04,7,314,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000005,CUST087142,Poor Customer Service,2024-06-04,10,344,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000006,CUST060233,Mobile App Issues,2025-05-05,2,9,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000007,CUST012836,KYC Verification Delay,2024-08-30,10,257,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000008,CUST032594,Poor Customer Service,2025-04-25,0,19,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000009,CUST002315,Mobile App Issues,2024-08-15,7,272,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000010,CUST043112,Loan Application Rejected,2024-11-05,0,190,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000011,CUST042989,Incorrect Charges,2024-05-18,7,361,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000012,CUST076524,Mobile App Issues,2025-01-14,9,120,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000013,CUST095131,Unauthorized Transaction,2025-01-23,8,111,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000014,CUST029002,Loan Application Rejected,2024-10-03,1,223,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000015,CUST045745,Loan Application Rejected,2024-06-24,10,324,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000016,CUST072272,Unauthorized Transaction,2024-09-17,5,239,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000017,CUST003175,ATM Withdrawal Failed,2024-05-25,6,354,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000018,CUST090214,ATM Withdrawal Failed,2025-04-12,2,32,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000019,CUST055166,Loan Application Rejected,2025-01-14,3,120,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000020,CUST016278,ATM Withdrawal Failed,2024-08-19,7,268,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000021,CUST035702,KYC Verification Delay,2025-04-11,1,33,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000022,CUST066099,Unauthorized Transaction,2025-03-18,9,57,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000023,CUST032283,Account Locked,2024-09-28,5,228,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000024,CUST027016,Mobile App Issues,2024-08-25,0,262,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000025,CUST080116,Incorrect Charges,2025-02-08,7,95,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000026,CUST063123,ATM Withdrawal Failed,2024-10-15,1,211,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000027,CUST029633,Mobile App Issues,2025-05-07,9,7,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000028,CUST021434,Mobile App Issues,2025-02-09,8,94,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000029,CUST067045,Account Locked,2024-09-19,0,237,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000030,CUST093875,Card Not Working,2024-09-23,0,233,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000031,CUST001092,Account Locked,2024-09-29,9,227,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000032,CUST055990,Loan Application Rejected,2024-12-30,1,135,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000033,CUST038405,Account Locked,2024-05-19,6,360,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000034,CUST086535,Card Not Working,2024-10-15,8,211,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000035,CUST070819,Poor Customer Service,2025-01-30,5,104,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000036,CUST073145,Unauthorized Transaction,2024-08-26,8,261,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000037,CUST015936,Unauthorized Transaction,2025-02-19,9,84,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000038,CUST004006,Delayed Refund,2024-10-15,6,211,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000039,CUST076098,Incorrect Charges,2025-02-05,10,98,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000040,CUST044884,Poor Customer Service,2024-11-22,7,173,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000041,CUST030137,Incorrect Charges,2025-03-21,2,54,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000042,CUST045172,Unauthorized Transaction,2024-07-18,9,300,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000043,CUST038941,Poor Customer Service,2025-04-13,5,31,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000044,CUST066626,Loan Application Rejected,2024-09-22,7,234,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000045,CUST078104,Card Not Working,2024-10-27,0,199,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000046,CUST027415,Delayed Refund,2024-07-11,9,307,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000047,CUST092738,Loan Application Rejected,2024-11-28,2,167,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000048,CUST019305,Account Locked,2025-02-01,6,102,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000049,CUST083675,Mobile App Issues,2024-10-06,3,220,2025-05-14 17:43:56.112010,2025-05-14,17
TICKET000050,CUST036579,Incorrect Charges,2024-11-17,2,178,2025-05-14 17:43:56.112010,2025-05-14,17
