ticket_id,customer_id,complaint_category,complaint_date,severity
TICKET000001,CUST030547,Account Locked,2024-07-29,4
TICKET000002,CUST001588,ATM Withdrawal Failed,2025-03-18,5
TICKET000003,CUST016653,Unauthorized Transaction,2024-11-14,5
TICKET000004,CUST085285,Card Not Working,2024-12-10,7
TICKET000005,CUST005753,Card Not Working,2024-05-22,10
TICKET000006,CUST042591,Poor Customer Service,2024-12-08,3
TICKET000007,CUST045486,Mobile App Issues,2024-10-15,2
TICKET000008,CUST095079,Loan Application Rejected,2024-10-17,1
TICKET000009,CUST051811,Delayed Refund,2025-03-13,4
TICKET000010,CUST058061,Delayed Refund,2024-12-24,4
TICKET000011,CUST036649,Account Locked,2024-12-29,5
TICKET000012,CUST097718,Loan Application Rejected,2024-06-18,2
TICKET000013,CUST094756,ATM Withdrawal Failed,2025-03-18,6
TICKET000014,CUST084794,Delayed Refund,2025-04-26,3
TICKET000015,CUST090897,ATM Withdrawal Failed,2025-01-30,7
TICKET000016,CUST096708,Loan Application Rejected,2025-03-20,9
TICKET000017,CUST038223,Poor Customer Service,2025-01-18,3
TICKET000018,CUST082787,Account Locked,2025-04-24,5
TICKET000019,CUST066740,Mobile App Issues,2024-09-05,4
TICKET000020,CUST011326,Unauthorized Transaction,2024-05-17,0
TICKET000021,CUST037839,Delayed Refund,2024-09-06,9
TICKET000022,CUST049948,Poor Customer Service,2025-02-11,2
TICKET000023,CUST072263,Poor Customer Service,2025-05-07,10
TICKET000024,CUST038404,Delayed Refund,2024-11-27,2
TICKET000025,CUST015717,Poor Customer Service,2024-06-23,8
TICKET000026,CUST025240,Mobile App Issues,2025-05-07,5
TICKET000027,CUST056334,ATM Withdrawal Failed,2025-02-24,8
TICKET000028,CUST038861,Account Locked,2025-02-01,5
TICKET000029,CUST087766,Account Locked,2024-08-30,7
TICKET000030,CUST095090,Unauthorized Transaction,2024-07-08,3
TICKET000031,CUST064189,KYC Verification Delay,2025-02-10,6
TICKET000032,CUST020299,Delayed Refund,2024-12-08,3
TICKET000033,CUST063224,Delayed Refund,2025-04-09,0
TICKET000034,CUST037722,Delayed Refund,2024-09-16,3
TICKET000035,CUST088365,KYC Verification Delay,2024-12-02,8
TICKET000036,CUST077792,Mobile App Issues,2024-09-06,6
TICKET000037,CUST086864,Card Not Working,2024-07-19,6
TICKET000038,CUST017932,Card Not Working,2025-03-11,1
TICKET000039,CUST029583,KYC Verification Delay,2024-11-28,3
TICKET000040,CUST005023,ATM Withdrawal Failed,2024-07-15,6
TICKET000041,CUST084376,Card Not Working,2025-01-19,2
TICKET000042,CUST063207,Delayed Refund,2024-11-30,7
TICKET000043,CUST081112,Unauthorized Transaction,2025-05-01,9
TICKET000044,CUST032786,Account Locked,2024-11-17,6
TICKET000045,CUST051235,Account Locked,2025-05-04,6
TICKET000046,CUST044498,Mobile App Issues,2025-02-26,7
TICKET000047,CUST008644,Account Locked,2024-07-15,10
TICKET000048,CUST027593,Mobile App Issues,2025-03-07,6
TICKET000049,CUST048628,Loan Application Rejected,2024-09-08,9
TICKET000050,CUST065071,Unauthorized Transaction,2024-09-12,1
TICKET000051,CUST067858,Poor Customer Service,2025-01-19,0
TICKET000052,CUST013881,Loan Application Rejected,2024-10-16,5
TICKET000053,CUST025985,Incorrect Charges,2025-05-02,7
TICKET000054,CUST048728,Incorrect Charges,2025-05-06,6
TICKET000055,CUST035386,Loan Application Rejected,2024-06-05,0
TICKET000056,CUST073106,Incorrect Charges,2024-09-27,9
TICKET000057,CUST095125,Delayed Refund,2024-08-20,8
TICKET000058,CUST077641,Incorrect Charges,2025-05-08,0
TICKET000059,CUST066539,Delayed Refund,2024-07-05,1
TICKET000060,CUST044344,Incorrect Charges,2025-02-09,0
TICKET000061,CUST030710,Unauthorized Transaction,2024-12-19,6
TICKET000062,CUST034723,Account Locked,2025-02-15,2
TICKET000063,CUST071405,Card Not Working,2025-03-12,5
TICKET000064,CUST084323,ATM Withdrawal Failed,2024-07-03,9
TICKET000065,CUST018227,Poor Customer Service,2024-07-05,3
TICKET000066,CUST099391,Card Not Working,2024-08-03,0
TICKET000067,CUST080418,ATM Withdrawal Failed,2024-10-23,10
TICKET000068,CUST057227,Delayed Refund,2025-01-14,9
TICKET000069,CUST053234,Incorrect Charges,2024-07-28,9
TICKET000070,CUST026353,Poor Customer Service,2024-10-13,7
TICKET000071,CUST049234,Incorrect Charges,2025-04-25,4
TICKET000072,CUST038829,Mobile App Issues,2024-08-08,3
TICKET000073,CUST069871,KYC Verification Delay,2024-08-29,7
TICKET000074,CUST071597,Mobile App Issues,2024-09-05,5
TICKET000075,CUST089493,KYC Verification Delay,2024-08-19,3
TICKET000076,CUST016488,Incorrect Charges,2024-10-09,2
TICKET000077,CUST039701,Loan Application Rejected,2025-01-05,0
TICKET000078,CUST039653,Card Not Working,2024-07-10,6
TICKET000079,CUST043440,Unauthorized Transaction,2025-04-17,3
